headword,sublist,pos,jp_meaning
analyse,1,v,分析する
approach,1,n;v,アプローチ;近づく
area,1,n,領域;面積
assess,1,v,評価する
assume,1,v,仮定する;引き受ける
authority,1,n,権威;当局
available,1,adj,利用可能な
benefit,1,n;v,利益;利益を得る
concept,1,n,概念
consist,1,v,(of)から成る
constitute,1,v,構成する
context,1,n,文脈;状況
contract,1,n;v,契約;契約する
create,1,v,創造する
data,1,n,データ
define,1,v,定義する
derive,1,v,引き出す;由来する
distribute,1,v,分配する;流通させる
economy,1,n,経済
environment,1,n,環境
establish,1,v,確立する
estimate,1,v;n,見積もる;推定
evident,1,adj,明らかな
export,1,v;n,輸出する;輸出品
factor,1,n,要因
finance,1,n;v,財政;資金供給する
formula,1,n,公式;処方
function,1,n;v,機能;機能する
identify,1,v,特定する;同一視する
income,1,n,収入
indicate,1,v,示す
individual,1,n;adj,個人;個別の
interpret,1,v,解釈する;通訳する
involve,1,v,関与させる;含む
issue,1,n;v,問題;発行する
labour,1,n,労働
legal,1,adj,法律の;合法の
legislate,1,v,法律を制定する
major,1,adj,主要な
method,1,n,方法
occur,1,v,起こる
percent,1,n,パーセント
period,1,n,期間
policy,1,n,政策;方針
principle,1,n,原則
proceed,1,v,進む;続行する
process,1,n;v,過程;処理する
require,1,v,必要とする
research,1,n;v,研究;調査する
respond,1,v,応答する
role,1,n,役割
section,1,n,部分;区画
sector,1,n,部門;セクター
significant,1,adj,重要な;有意な
similar,1,adj,似ている
source,1,n,源;情報源
specific,1,adj,特定の;具体的な
structure,1,n,構造
theory,1,n,理論
vary,1,v,変わる;異なる
achieve,2,v,達成する
acquire,2,v,獲得する
administrate,2,v,管理する;運営する
affect,2,v,影響を与える
appropriate,2,adj,適切な
aspect,2,n,側面
assist,2,v,助ける
category,2,n,カテゴリー
chapter,2,n,章
commission,2,n;v,委員会;委託する
community,2,n,共同体;地域社会
complex,2,adj,複雑な
compute,2,v,計算する
conclude,2,v,結論づける
conduct,2,v;n,行う;行動
consequent,2,adj,結果として起こる
construct,2,v,構築する
consume,2,v,消費する
credit,2,n;v,信用;信用を与える
culture,2,n,文化
design,2,n;v,設計;設計する
distinct,2,adj,明確な;別個の
element,2,n,要素
equate,2,v,同等視する
evaluate,2,v,評価する
feature,2,n,特徴
final,2,adj,最終の
focus,2,n;v,焦点;集中する
impact,2,n;v,影響;影響を与える
injure,2,v,傷つける
institute,2,n;v,機関;設立する
invest,2,v,投資する
item,2,n,項目
journal,2,n,日記;学術誌
maintain,2,v,維持する
normal,2,adj,普通の;標準の
obtain,2,v,得る
participate,2,v,参加する
perceive,2,v,知覚する;認識する
positive,2,adj,肯定的な;正の
potential,2,adj;n,潜在的な;潜在力
previous,2,adj,以前の
primary,2,adj,主要な;一次の
purchase,2,v;n,購入する;購入
range,2,n,範囲
region,2,n,地域
regulate,2,v,規制する
relevant,2,adj,関連する
reside,2,v,住む;存在する
resource,2,n,資源
restrict,2,v,制限する
secure,2,adj;v,安全な;確保する
seek,2,v,探し求める
select,2,v,選ぶ
site,2,n,場所;サイト
strategy,2,n,戦略
survey,2,n;v,調査;調査する
text,2,n,テキスト;文章
tradition,2,n,伝統
transfer,2,v;n,移す;移動
alternative,3,n;adj,代案;代わりの
circumstance,3,n,状況
comment,3,n;v,コメント;論評する
compensate,3,v,補償する
component,3,n,構成要素
consent,3,n;v,同意;同意する
considerable,3,adj,かなりの
constant,3,adj,一定の
constrain,3,v,強制する;制限する
contribute,3,v,貢献する
convene,3,v,招集する;集まる
coordinate,3,v;n,調整する;座標
core,3,n;adj,核;中核の
corporate,3,adj,企業の
correspond,3,v,対応する;文通する
criteria,3,n,基準
deduce,3,v,推論する
demonstrate,3,v,証明する;実演する
document,3,n;v,文書;記録する
dominate,3,v,支配する
emphasis,3,n,強調
ensure,3,v,確実にする
exclude,3,v,除外する
framework,3,n,枠組み
fund,3,n;v,基金;資金提供する
illustrate,3,v,説明する;例示する
immigrate,3,v,移住する
imply,3,v,暗示する
initial,3,adj,最初の
instance,3,n,事例
interact,3,v,相互作用する
justify,3,v,正当化する
layer,3,n,層
link,3,n;v,リンク;結びつける
locate,3,v,位置を特定する
maximise,3,v,最大化する
minor,3,adj,小さい;マイナーな
negate,3,v,否定する
outcome,3,n,結果
partner,3,n,パートナー
philosophy,3,n,哲学
physical,3,adj,身体の;物理的な
proportion,3,n,割合
publish,3,v,出版する
react,3,v,反応する
register,3,v;n,登録する;登録簿
rely,3,v,頼る
remove,3,v,取り除く
scheme,3,n,計画;策略
sequence,3,n,順序
sex,3,n,性
shift,3,n;v,変化;移行する
specify,3,v,明確にする
sufficient,3,adj,十分な
task,3,n,課題;作業
technical,3,adj,技術的な
technique,3,n,技術
technology,3,n,テクノロジー
valid,3,adj,有効な
volume,3,n,量;音量
access,4,n;v,アクセス;アクセスする
adequate,4,adj,十分な
annual,4,adj,年次の
apparent,4,adj,明白な;見かけの
approximate,4,adj;v,近似の;近づく
attitude,4,n,態度
attribute,4,n;v,属性;帰する
civil,4,adj,市民の;民事の
code,4,n,コード;規範
commit,4,v,委ねる;犯す;約束する
communicate,4,v,伝達する
concentrate,4,v,集中する
confer,4,v,授ける;相談する
contrast,4,n;v,対比;対照する
cycle,4,n,サイクル;周期
debate,4,n;v,討論;議論する
despite,4,prep,にもかかわらず
dimension,4,n,次元
domestic,4,adj,国内の;家庭の
emerge,4,v,現れる
error,4,n,誤り
ethnic,4,adj,民族の
goal,4,n,目標
grant,4,v,与える;認める
hence,4,adv,したがって
hypothesis,4,n,仮説
implement,4,v,実施する
implicate,4,v,巻き込む
impose,4,v,課す
integrate,4,v,統合する
internal,4,adj,内部の
investigate,4,v,調査する
job,4,n,仕事
label,4,n;v,ラベル;ラベルを貼る
mechanism,4,n,メカニズム
obvious,4,adj,明らかな
occupy,4,v,占める
option,4,n,選択肢
output,4,n,産出
overall,4,adj;adv,全体の;全体的に
parallel,4,adj;n,平行の;平行
parameter,4,n,パラメータ
phase,4,n,段階;局面
predict,4,v,予測する
principal,4,adj,主要な
prior,4,adj,先の
professional,4,adj,専門の
project,4,n;v,プロジェクト;投影する
promote,4,v,促進する;昇進させる
regime,4,n,体制
resolve,4,v,解決する;決意する
retain,4,v,保持する
series,4,n,連続;シリーズ
statistic,4,n,統計
status,4,n,地位;状態
stress,4,n;v,ストレス;強調する
subsequent,4,adj,その後の
sum,4,n,合計
summary,4,n,要約
undertake,4,v,引き受ける
academy,5,n,学院;アカデミー
adjust,5,v,調整する
alter,5,v,変える
amend,5,v,修正する
aware,5,adj,気づいている
capacity,5,n,容量;能力
challenge,5,n;v,挑戦;挑む
clause,5,n,節;条項
compound,5,n;adj,化合物;複合の
conflict,5,n;v,対立;対立する
consult,5,v,相談する
contact,5,n;v,接触;連絡する
decline,5,v;n,衰退する;衰退
discrete,5,adj,別個の;離散的な
draft,5,n;v,下書き;起草する
enable,5,v,可能にする
energy,5,n,エネルギー
enforce,5,v,施行する
entity,5,n,実体
equivalent,5,adj;n,同等の;同等物
evolve,5,v,進化する
expand,5,v,拡大する
expose,5,v,さらす;暴露する
external,5,adj,外部の
facilitate,5,v,促進する
fundamental,5,adj,基本的な
generate,5,v,生み出す
generation,5,n,世代
